citation_item,item_count,frequency
"Kiran, G. Naga Venkata",2,0.26
"Truong, Thai-Minh",2,0.26
"Velásquez, I.",2,0.26
"Sepúlveda, M.",2,0.26
"Wang, Ying",2,0.26
"Wetzstein, B.",2,0.26
"Mejri, A.",2,0.26
"Mathirajan, M.",2,0.26
"Sindhgatta, Renuka",2,0.26
"Trapani, N.",2,0.26
"Van Den Heuvel, Willem-Jan",2,0.26
"Loos, Peter",2,0.26
"Vom Brocke, Jan",2,0.26
"Recker, Jan",2,0.26
"Marconi, Annapaola",2,0.26
"Rosemann, M.",2,0.26
