citation_item,item_count,frequency
10.1007/s10618-006-0061-7,2,0.26
"I Goodfellow, 2016",2,0.26
"C Di Ciccio, 2022, 10.1007/978-3-031-08848-3_4",2,0.26
10.1109/SEAA.2018.00051,2,0.26
10.1109/ICWS.2019.00065,2,0.26
10.1108/13598540410517557,2,0.26
10.1016/j.jom.2013.07.012,2,0.26
"S Malve, 2007, 10.1016/j.cor.2005.11.011",2,0.26
10.1109/CEC.2012.6256458,2,0.26
10.1109/SRII.2012.42,2,0.26
"Allweyer T., 2010",2,0.26
10.1007/978-3-662-10876-5,2,0.26
10.1109/TSC.2012.27,2,0.26
10.1109/ECOWS.2010.16,2,0.26
10.1609/aaai.v36i5.20505,2,0.26
10.5220/0006772003140319,2,0.26
10.1007/978-3-319-92901-9_15,2,0.26
10.1109/ICNS.2009.80,2,0.26
"D Georgakopoulos, 1995, 10.1007/BF01277643",2,0.26
10.1007/978-3-030-02610-3_6,2,0.26
"I Teinemaa, 2018, 10.1007/s10618-018-0575-9",2,0.26
"J Evermann, 2017, 10.1016/j.dss.2017.04.003",2,0.26
10.24963/ijcai.2022/354,2,0.26
"NA Wahid, 2019, 10.1016/j.procs.2019.11.219",2,0.26
"N Mehdiyev, 2020, 10.1007/s12599-018-0551-3",2,0.26
10.1109/SSCI.2017.8285184,2,0.26
"G Park, 2020, 10.1016/j.dss.2019.113191",2,0.26
10.1109/ICPM.2019.00028,2,0.26
"J Theis, 2019, 10.1109/ACCESS.2019.2937085",2,0.26
10.1007/978-3-319-65000-5_15,2,0.26
10.1007/978-3-642-13094-6_5,2,0.26
10.1016/j.ijpe.2011.06.003,2,0.26
"Measurement of Intangible Success Factors: Case Studies on the Design, Implementation and Use of Measures, lönnqvist, 2004",2,0.26
10.1207/s15430421tip3903_2,2,0.26
10.1016/j.jbi.2016.04.007,2,0.26
"A framework for developing a domain specific business intelligence maturity model: application to healthcare, 2015, 10.1016/j.ijinfomgt.2015.01.011",2,0.26
10.1109/ICDM.2017.9,2,0.26
10.1007/978-3-319-58457-7_24,2,0.26
"R Lorenz, 2021, 10.1080/00207543.2021.1906460",2,0.26
"SA White, 2008",2,0.26
"M Rosemann, 2008, 10.1504/IJBPIM.2008.019347",2,0.26
10.1007/s11747-009-0135-3,2,0.26
"D Breuker, 2016, 10.25300/MISQ/2016/40.4.10",2,0.26
10.1108/14637151011065946,2,0.26
"S Brinkkemper, 1996, 10.1016/0950-5849(95)01059-9",2,0.26
"J Han, 2011",2,0.26
"GT Lakshmanan, 2015, 10.1007/s10115-013-0697-8",2,0.26
10.1007/978-3-319-06257-0_2,2,0.26
10.1007/978-3-319-65000-5_18,2,0.26
"P Hanafizadeh, 2009, 10.1108/14637150910975561",2,0.26
"A Alman, 2022, 10.1007/978-3-031-07472-1_19",2,0.26
10.25300/MISQ/2020/14418,2,0.26
"Project, 2008",2,0.26
"G De Giacomo, 2014, 10.1007/978-3-319-10172-9_1",2,0.26
"W Kratsch, 2020, 10.1007/s12599-020-00645-0",2,0.26
"wahli, 2007",2,0.26
10.1108/BPMJ-08-2016-0160,2,0.26
"D Fahland, 2022, 10.1007/978-3-031-08848-3_9",2,0.26
10.1007/978-3-319-10172-9_31,2,0.26
10.1108/14637151011017967,2,0.26
"Planning and Measurement in your organisation of the Future, sink, 1989",2,0.26
10.1109/IC2E.2014.13,2,0.26
10.1108/01443570210450329,2,0.26
"Rundum erneuert - EFQM-Modell und Radar-Logik in revidierter Version 2010, moll, 2009",2,0.26
"L Breiman, 2001, 10.1023/A:1010933404324",2,0.26
"The New Performance Challenge: Measuring operations for World-class Competition, dixon, 1990",2,0.26
"Performance measurement in Service Industries: Making it work, fitzgerald, 1996",2,0.26
10.1109/EMR.2006.261380,2,0.26
"G Adamo, 2021, 10.1016/j.is.2021.101762",2,0.26
10.1109/CEC-EEE.2006.73,2,0.26
10.1007/978-3-540-25975-6_15,2,0.26
"IJ Martinez-Moyano, 2017, 10.1287/orsc.2013.0847",2,0.26
10.1108/01443570210450310,2,0.26
10.1007/3-540-45017-3_26,2,0.26
10.1109/MS.2009.84,2,0.26
"M Porter, 1980",2,0.26
"How time-based management measures performance, stalk, 1993",2,0.26
10.1016/j.future.2014.09.005,2,0.26
10.1108/14637151111105616,2,0.26
10.1109/ICSE.2015.134,2,0.26
10.1111/j.1468-2370.2005.00105.x,2,0.26
"Measure Up: The Essential Guide to Measuring Business Performance, lynch, 1991",2,0.26
10.1007/978-3-642-01982-1_1,2,0.26
10.1108/01443570010318896,2,0.26
"WMP van der Aalst, 2020, 10.3233/FI-2020-1946",2,0.26
10.1108/14637150810903066,2,0.26
"C Soh, 2003, 10.1207/S15327590IJHC1601_6",2,0.26
10.1109/ICEBE.2005.89,2,0.26
10.1080/09537280512331333020,2,0.26
10.3390/su12239805,2,0.26
10.1007/978-1-4842-3522-5_7,2,0.26
10.1007/11596141_21,2,0.26
10.1145/1035167.1035178,2,0.26
10.1111/j.1468-2370.2005.00106.x,2,0.26
"JC Molloy, 2015, 10.5465/amp.2014.0152",2,0.26
"RR Nelson, 1982",2,0.26
10.1007/BF00994018,2,0.26
"Performance measurement - Examining the applicability of the existing body of knowledge to nonprofit organisations, moxham, 2009, 10.1108/01443570910971405",2,0.26
"Keeping Score: Using the Right Metrics to Drive World-class Performance, brown, 1996",2,0.26
10.1007/978-3-642-32885-5_6,2,0.26
10.1007/s00170-007-1052-6,2,0.26
"Building a Process Performance Meaasurement System: some Early experiences, kueng, 1999",2,0.26
"Why balanced scorecards fail, schneiderman, 1999",2,0.26
"WMP van der Aalst, 2019, 10.1007/978-3-030-30446-1_1",2,0.26
"allweyer, 2016",2,0.26
10.1016/j.dss.2006.11.005,2,0.26
10.1016/j.omega.2004.04.012,2,0.26
10.1007/978-3-642-02144-2_29,2,0.26
10.1108/IJOPM-10-2011-0362,2,0.26
10.1007/978-3-030-58779-6_15,2,0.26
10.1007/978-3-642-41467-1,2,0.26
"J Plisson, 2007, 10.1109/TSMCC.2007.905842",2,0.26
10.1145/1555619.1555625,2,0.26
10.1007/3-540-45341-5_33,2,0.26
10.1147/sj.412.0198,2,0.26
10.1007/978-3-540-30581-1_4,2,0.26
"S. Ran, 2003, 10.1145/844357.844360",2,0.26
10.1007/978-3-030-58779-6_6,2,0.26
"Building a Process Performance Meaasurement System: some early experiences, kueng, 1999",2,0.26
10.1007/978-3-642-38709-8_16,2,0.26
"Coming Up Short on Nonfinancial Performance Measurement, ittner, 2003",2,0.26
10.1108/14635770410520320,2,0.26
"RE Woodward, 1986, 10.1016/0749-5978(86)90044-0",2,0.26
"Performance measurement systems: Models, characteristics and measures, detoni, 2001, 10.1108/01443570110358459",2,0.26
"How information gives you competitive advantage, porter, 1985",2,0.26
10.1016/j.dss.2014.10.006,2,0.26
"R Tibshirani, 2001, 10.1111/1467-9868.00293",2,0.26
"M Röglinger, 2018, 10.1007/978-3-319-98651-7_12",2,0.26
"The Audit Society, power, 1997",2,0.26
"A Rafaeli, 1998, 10.1177/105649269874009",2,0.26
"W Ocasio, 1997, 10.1002/(SICI)1097-0266(199707)18:1+<187::AID-SMJ936>3.3.CO;2-B",2,0.26
"deming, 1982",2,0.26
"pingel, 2007",2,0.26
10.1108/01443570010330739,2,0.26
10.1016/B978-012088469-8.50035-8,2,0.26
"yin, 2003",2,0.26
10.1007/978-3-319-06257-0_6,2,0.26
"MJ Benner, 2003, 10.5465/amr.2003.9416096",2,0.26
10.1007/s12599-017-0483-3,2,0.26
10.1108/01443570210450284,2,0.26
"JA Martin, 2011, 10.1287/orsc.1090.0515",2,0.26
10.1007/978-3-642-33606-5_18,2,0.26
"Using the Balanced Scorecard as strategic management system, kaplan, 1996",2,0.26
10.1007/978-3-319-23063-4_22,2,0.26
"schmelzer, 2008",2,0.26
van der Aalst W. M. P.,2,0.26
10.1108/01443570110358459,2,0.26
10.1145/1944968.1944976,2,0.26
10.1177/0149206308330560,2,0.26
"Using the balanced scorecard as a strategic management system, kaplan, 1996",2,0.26
10.1007/s13740-014-0038-4,2,0.26
10.1007/978-1-4419-6151-8_1,2,0.26
10.1016/j.dss.2008.07.002,2,0.26
10.1016/0167-9236(94)00041-2,2,0.26
"A Yousfi, 2016, 10.1016/j.infsof.2016.02.002",2,0.26
10.1145/130994.130998,2,0.26
10.1007/s10257-011-0172-6,2,0.26
10.1108/01443570810881802,2,0.26
Lütkepohl Helmut,2,0.26
10.1007/978-3-540-69534-9_4,2,0.26
"D Jurafsky, 2009",2,0.26
"MD Peters, 2016, 10.1016/j.accinf.2016.03.001",2,0.26
10.4018/IJHISI.2016070102,2,0.26
10.1016/B978-0-12-802308-2.00002-3,2,0.26
"S Akter, 2016, 10.1016/j.ijpe.2016.08.018",2,0.26
"P Mikalef, 2021, 10.1016/j.im.2021.103434",2,0.26
"J Poeppelbuss, 2011, 10.17705/1CAIS.02927",2,0.26
"A Nigam, 2003, 10.1147/sj.423.0428",2,0.26
"power, 1997",2,0.26
"ITP Vanderfeesten, 2011, 10.1016/j.is.2010.09.008",2,0.26
"saaty, 1980",2,0.26
10.1007/978-3-030-49418-6_9,2,0.26
10.1109/HICSS.2014.422,2,0.26
"J Krishnan, 2008, 10.2308/aud.2008.27.1.169",2,0.26
10.1109/TPAMI.2013.50,2,0.26
"ISO, 2000",2,0.26
10.1145/1097002.1097011,2,0.26
"HA Haveman, 2001, 10.1287/orsc.12.3.253.10104",2,0.26
"K McCormack, 2009, 10.1108/14637150910987946",2,0.26
"D Romero, 2007",2,0.26
10.1007/11678564_15,2,0.26
10.1016/B978-155860869-6/50086-X,2,0.26
"ICAO, 2016",2,0.26
"P Iliev, 2010, 10.1111/j.1540-6261.2010.01564.x",2,0.26
"SESAR, 2014",2,0.26
"DJ Hickson, 1969, 10.2307/2391134",2,0.26
"Bai Lei, 2020",2,0.26
10.1007/11841760_33,2,0.26
10.1142/S0218843098000118,2,0.26
10.1002/spe.995,2,0.26
10.1108/17410401111167799,2,0.26
10.1111/j.1467-8551.2008.00594.x,2,0.26
10.1108/BPMJ-07-2012-0068,2,0.26
10.1001/jama.293.10.1261,2,0.26
10.1007/978-3-030-02610-3_33,2,0.26
"G Li, 2017, 10.1007/978-3-319-59336-4_4",2,0.26
10.1016/S0306-4379(02)00024-8,2,0.26
"M Rosemann, 2006",2,0.26
10.1145/3394486.3403118,2,0.26
10.1007/s00778-007-0044-3,2,0.26
10.1109/TNN.2003.820556,2,0.26
10.20396/rdbci.v20i00.8670814,2,0.26
"T Felin, 2012, 10.1111/j.1467-6486.2012.01052.x",2,0.26
10.23919/MIPRO.2018.8400229,2,0.26
10.1145/1557019.1557139,2,0.26
"Dumas, 2013",2,0.26
"Comprehensible predictive models for business processes, Breuker, 2016, 10.25300/MISQ/2016/40.4.10",2,0.26
10.1016/j.dss.2016.06.012,2,0.26
"Challu Cristian, 2022",2,0.26
10.1145/2002259.2002270,2,0.26
10.1007/3-540-44895-0,2,0.26
10.1007/978-3-642-02161-9_3,2,0.26
10.1007/978-3-642-45100-3_3,2,0.26
10.1002/smr.524,2,0.26
Dumas Marlon,2,0.26
"Cho Kyunghyun, 2014",2,0.26
"T Grisold, 2021, 10.1108/BPMJ-03-2020-0112",2,0.26
10.1109/DEXA.2005.60,2,0.26
10.4018/978-1-59904-289-3.ch004,2,0.26
10.1155/2014/528917,2,0.26
10.1145/984458.984503,2,0.26
10.1109/EDOC.2011.12,2,0.26
10.1109/HICSS.2014.469,2,0.26
"A Rozinat, 2009, 10.1016/j.datak.2009.02.014",2,0.26
"M Szelągowski, 2021, 10.1007/s10257-021-00501-y",2,0.26
"YA Saanen, 2006",2,0.26
"B Wernerfelt, 1984, 10.1002/smj.4250050207",2,0.26
"J Hope, 2007, 10.1017/CBO9780511488481.011",2,0.26
10.1016/j.infsof.2014.07.009,2,0.26
"M Lebas, 2007, 10.1017/CBO9780511488481.008",2,0.26
10.17705/1CAIS.03452,2,0.26
10.1007/s12599-015-0410-4,2,0.26
"Apostoloua Dimitris, 2011",2,0.26
10.1016/j.websem.2011.06.007,2,0.26
10.1109/TSC.2011.40,2,0.26
10.1007/s11761-010-0074-3,2,0.26
"MS Feldman, 2003, 10.2307/3556620",2,0.26
"Huang D., 2012",2,0.26
"Baumgrass Anne, 2015",2,0.26
10.17705/1jais.00193,2,0.26
"R Skrinjar, 2008, 10.1108/14637150810903084",2,0.26
"J Barney, 2013, 10.5465/amp.2012.0107",2,0.26
"ripley, 2016",2,0.26
10.1007/978-3-319-11812-3_5,2,0.26
"S Hochreiter, 1997, 10.1162/neco.1997.9.8.1735",2,0.26
10.1007/978-3-642-38697-8_17,2,0.26
10.1007/978-3-642-45005-1_27,2,0.26
"M Gharib, 2018, 10.1007/s00766-016-0264-4",2,0.26
10.1002/cpe.1867,2,0.26
10.1109/TSC.2011.25,2,0.26
10.1016/j.giq.2011.08.004,2,0.26
"Y. Zeng, 2004",2,0.26
10.5220/0006842100980105,2,0.26
10.1016/j.cpa.2009.08.007,2,0.26
"City of Health and Science, 2019",2,0.26
"Frameworx Project, 2019",2,0.26
"I Kazancoglu, 2022, 10.1016/j.jclepro.2022.132431",2,0.26
10.1109/ICPM.2019.00015,2,0.26
10.1109/IJCNN.2014.6889360,2,0.26
10.1109/CEC.2010.9,2,0.26
10.1016/j.im.2005.06.001,2,0.26
"Zmuda Daniel, 2010",2,0.26
Akram Salman,2,0.26
"Managing Ontology Support, 2008",2,0.26
"A Holzinger, 2021, 10.1016/j.inffus.2021.01.008",2,0.26
10.1007/978-3-540-75183-0_21,2,0.26
10.1007/978-3-319-20370-6_10,2,0.26
10.1007/978-3-642-16934-2_6,2,0.26
10.1007/978-3-642-03422-0_1,2,0.26
10.1016/0305-0483(90)90058-H,2,0.26
"Bitkowska, 2009",2,0.26
Ullah A.,2,0.26
"Sushil, 2009",2,0.26
"R Simons, 1995",2,0.26
"N Roberts, 2009, 10.1007/BF03396553",2,0.26
10.1109/HICSS.2006.68,2,0.26
10.1016/j.im.2011.01.005,2,0.26
10.1016/j.dss.2011.03.001,2,0.26
10.1016/j.procs.2011.07.079,2,0.26
10.1016/j.is.2010.12.005,2,0.26
10.1007/978-3-642-00328-8_65,2,0.26
"Software AG, 2016",2,0.26
10.1007/978-3-540-76890-6_52,2,0.26
"M. Born, 2007",2,0.26
"D.C. Luckham, 2002",2,0.26
10.1007/978-3-540-76888-3_37,2,0.26
"WR Ashby, 1956, 10.5962/bhl.title.5851",2,0.26
"Kimball, 2013",2,0.26
"Sushil, 2015, 10.1007/s40171-015-0095-z",2,0.26
10.4018/978-1-59904-054-7.ch002,2,0.26
Baker T.,2,0.26
"AS Awwad, 2022, 10.1007/s40171-022-00303-2",2,0.26
"R Baldwin, 1998, 10.1093/acprof:oso/9780198765295.001.0001",2,0.26
10.1186/s40064-016-3498-1,2,0.26
"Semantic Web Services Change Management, 2011",2,0.26
10.1007/978-3-319-17542-3,2,0.26
