citation_item,item_count,frequency
"A Augusto, 2019, 10.1109/TKDE.2018.2841877",3,0.40
"M Leyer, 2015, 10.1007/978-3-642-45103-4_9",3,0.40
10.1109/EDOC.2008.11,3,0.40
"DM Blei, 2003",3,0.40
"A Augusto, 2018, 10.1109/TKDE.2018.2841877",3,0.40
"laudon, 2010",3,0.40
"J Eggers, 2021, 10.1007/s12599-021-00715-x",3,0.40
"T Hernaus, 2012, 10.1108/17465261211272148",3,0.40
"WA Günther, 2017, 10.1016/j.jsis.2017.07.003",3,0.40
"M Reichert, 2012, 10.1007/978-3-642-30409-5",3,0.40
10.1007/978-3-642-30409-5,3,0.40
10.1007/978-3-540-75183-0_12,3,0.40
"C Bai, 2013, 10.1016/j.ijpe.2013.07.011",3,0.40
"A Dardenne, 1993, 10.1016/0167-6423(93)90021-G",3,0.40
"A Van Looy, 2016, 10.1186/s40064-016-3498-1",3,0.40
"The Performance Prism: The Scorecard for Measuring and Managing Business Success, neely, 2002",3,0.40
"Design Science in Information Systems Research, hevner, 2004, 10.2307/25148625",3,0.40
10.1007/s10270-008-0106-z,3,0.40
10.1017/CBO9780511753695,3,0.40
10.1007/s11576-006-0057-3,3,0.40
"TH Davenport, 1993",3,0.40
"Weske M., 2007",3,0.40
10.1007/978-3-642-01982-1,3,0.40
"J vom Brocke, 2014, 10.1108/BPMJ-06-2013-0074",3,0.40
"D Steenken, 2004, 10.1007/s00291-003-0157-z",3,0.40
"J Webster, 2002",3,0.40
"M Weske, 2019, 10.1007/978-3-662-59432-2",3,0.40
"M Zairi, 1997, 10.1108/14637159710161585",3,0.40
10.1002/smj.4250140105,3,0.40
10.1007/3-540-36615-6,3,0.40
10.1016/j.ejor.2009.06.004,3,0.40
10.1016/j.eswa.2010.05.017,3,0.40
10.1108/01443570710763778,3,0.40
"J Mendling, 2020, 10.1080/0960085X.2020.1755207",3,0.40
10.1016/j.eswa.2019.04.016,3,0.40
10.1007/s00607-018-0593-x,3,0.40
10.5555/2462579,3,0.40
10.1109/TKDE.2004.47,3,0.40
10.1007/978-3-540-72909-9_42,3,0.40
"W.M.P. van der Aalst, 2003, 10.1016/S0169-023X(03)00066-1",3,0.40
"V Grover, 2018, 10.1080/07421222.2018.1451951",3,0.40
10.1007/978-3-642-45100-3,3,0.40
"Y LeCun, 2015, 10.1038/nature14539",3,0.40
10.1108/14637151011017985,3,0.40
"weske, 2007",3,0.40
"ICAO, 2006",3,0.40
10.1016/j.dss.2017.04.003,3,0.40
"LD Xu, 2018, 10.1080/00207543.2018.1444806",3,0.40
10.1007/3-540-45594-9_3,3,0.40
"Erl T., 2005",3,0.40
Canfora G.,3,0.40
10.1109/MC.2007.400,3,0.40
van Dongen B.,3,0.40
10.1109/CIDM.2011.5949453,3,0.40
"R Škrinjar, 2013, 10.1016/j.ijinfomgt.2012.05.011",3,0.40
10.1002/9781119019855,3,0.40
"LM Camarinha-Matos, 2005",3,0.40
10.1016/j.is.2015.07.003,3,0.40
10.1162/neco.1997.9.8.1735,3,0.40
10.1007/978-3-322-80712-0_12,3,0.40
10.1287/orsc.5.1.14,3,0.40
10.1002/smj.4250171110,3,0.40
"Are your performance measures obsolete?, keegan, 1989",3,0.40
"zigon, 2011",3,0.40
10.1016/0166-4972(94)90067-1,3,0.40
"larcker, 2004",3,0.40
10.1109/EDOCW.2011.17,3,0.40
10.1111/j.1467-9302.2007.00579.x,3,0.40
"Producing a Systematic Review, denyer, 2009",3,0.40
"R Sanchis, 2020, 10.3390/su12041464",2,0.26
10.1109/SRII.2011.12,2,0.26
"G Li, 2014, 10.1007/s10796-012-9351-3",2,0.26
1998,2,0.26
"TH Davenport, 2010",2,0.26
"law, 1991",2,0.26
10.1007/978-3-642-25160-3_7,2,0.26
10.1007/978-3-540-75853-2_20,2,0.26
2022,2,0.26
"Towards management of sla-aware business processes based on key performance indicators, wetzstein, 2008",2,0.26
2004,2,0.26
10.1057/palgrave.jors.2601719,2,0.26
10.1016/j.is.2007.07.001,2,0.26
10.1007/978-0-387-84837-2_2,2,0.26
"van der aalst, 2011, 10.1007/978-3-642-19345-3",2,0.26
"A Sharp, 2009",2,0.26
"G Zellner, 2011, 10.1108/14637151111122329",2,0.26
"LM Camarinha-Matos, 2007, 10.1016/j.arcontrol.2007.03.006",2,0.26
10.2307/249760,2,0.26
