citation_item,item_count,frequency
"A model for extending lean/six sigma for business process improvement within financial reporting environments, 2011",2,66.67
"The REA accounting model: a generalized framework for accounting systems in a shared data environment, 1982",2,66.67
2011,2,66.67
"Business process management – are you ready for the future?, 2012, 10.1002/kpm.1388",2,66.67
"A framework for rigorously identifying research gaps in qualitative literature reviews, 2015",2,66.67
"Influence of institutional pressures on performance measurement systems, 2016, 10.1108/JAOC-09-2014-0051",2,66.67
"Performance measurement system design: a literature review and research agenda, 1995, 10.1108/01443579510083622",2,66.67
"Towards green business process reengineering, 2011",2,66.67
"Management of information systems: insights from accounting research, 2006, 10.1016/j.im.2006.10.001",2,66.67
"The balanced scorecard-measures that drive performance, 1992",2,66.67
"Extending the boundaries of management accounting research: developing systems for performance management, 2001, 10.1006/bare.2001.0168",2,66.67
"Promotion and evolution of sustainability performance measurement systems from a perspective of business process management, 2015, 10.1108/BPMJ-10-2013-0139",2,66.67
2012,2,66.67
"Suggestions for the next wave of BPM research: strengthening the theoretical core and exploring the protective belt, 2014",2,66.67
"An activity based management methodology for evaluating business processes for environmental sustainability, 2006, 10.1108/14637150610710918",2,66.67
"Time-relevant metrics in an era of continuous process improvement: the balanced scorecard revisited, 2013, 10.1080/10686967.2013.11918353",2,66.67
"The missing link between BPM and accounting, 2014, 10.1108/BPMJ-12-2012-0136",2,66.67
"Industrial innovation and parallel accounting developments, 1995, 10.1016/0166-4972(95)96601-O",2,66.67
2005,2,66.67
"The integration of activity based costing and enterprise modeling for reengineering purposes, 2000, 10.1016/S0925-5273(99)00080-8",2,66.67
"Accounting for continuous improvement, 1989",2,66.67
"Value-oriented process modeling: integrating financial perspectives into business process re-design, 2010, 10.1108/14637151011035633",2,66.67
"Reconstructing the giant: on the importance of rigour in documenting the literature search process, 2009",2,66.67
"Supporting performance management with business process management and business intelligence: a case analysis of integration and orchestration, 2013, 10.1016/j.ijinfomgt.2013.03.008",2,66.67
"The role of process performance measurement in BPM adoption outcomes in Croatia, 2015",2,66.67
"Analyzing the past to prepare for the future: writing a, 2002",2,66.67
"Using grounded theory as a method for rigorously reviewing literature, 2013, 10.1057/ejis.2011.51",2,66.67
"Business-process management: a proposed framework for future research, 2013",2,66.67
none available,1,33.33
