item,count,f
"10.1007/s12063-011-0054-6",1,0.13
"10.1007/s12599-013-0252-x",1,0.13
"10.1007/s12599-015-0409-x",1,0.13
"10.1007/s12927-012-0005-2",1,0.13
"10.1007/s13198-019-00810-z",1,0.13
"10.1007/s42488-020-00027-x",1,0.13
"10.1016/0022-2496(77)90033-5",1,0.13
"10.1016/0304-405x(76)90026-x",1,0.13
"10.1016/0883-9026(90)90023-m",1,0.13
"10.1016/0951-5240(92)90016-6",1,0.13
"10.1016/b978-0-12-374856-0.00001-8",1,0.13
"10.1016/b978-012369404-1/50008-8",1,0.13
"10.1016/b978-075064395-5.50003-0",1,0.13
"10.1016/b978-155860869-6/50076-7",1,0.13
"10.1016/j.autcon.2015.06.003",1,0.13
"10.1016/j.bushor.2009.05.001",1,0.13
"10.1016/j.compind.2005.03.001",1,0.13
"10.1016/j.compind.2022.103646",1,0.13
"10.1016/j.cor.2015.06.001",1,0.13
"10.1016/j.datak.2004.01.001",1,0.13
"10.1016/j.datak.2005.02.007",1,0.13
"10.1016/j.datak.2011.05.003",1,0.13
"10.1016/j.dss.2021.113494",1,0.13
"10.1016/j.ejor.2004.03.048",1,0.13
"10.1016/j.enbuild.2016.06.083",1,0.13
"10.1016/j.engappai.2008.09.005",1,0.13
"10.1016/j.engappai.2011.02.015",1,0.13
"10.1016/j.eswa.2008.06.060",1,0.13
"10.1016/j.eswa.2010.12.012",1,0.13
"10.1016/j.eswa.2012.02.063",1,0.13
"10.1016/j.eswa.2019.01.074",1,0.13
"10.1016/j.eswa.2022.117641",1,0.13
"10.1016/j.fss.2007.04.003",1,0.13
"10.1016/j.future.2015.01.001",1,0.13
"10.1016/j.giq.2003.08.002",1,0.13
"10.1016/j.ifacol.2015.06.357",1,0.13
"10.1016/j.ijinfomgt.2005.06.008",1,0.13
"10.1016/j.ijinfomgt.2009.07.003",1,0.13
"10.1016/j.ijinfomgt.2013.03.008",1,0.13
"10.1016/j.ijpe.2003.08.003",1,0.13
"10.1016/j.ijpe.2004.06.004",1,0.13
"10.1016/j.ijpe.2009.07.010",1,0.13
"10.1016/j.ijpe.2014.04.009",1,0.13
"10.1016/j.im.2004.01.010",1,0.13
"10.1016/j.inffus.2017.02.003",1,0.13
"10.1016/j.infsof.2008.02.006",1,0.13
"10.1016/j.infsof.2011.06.007",1,0.13
"10.1016/j.ipm.2009.03.002",1,0.13
"10.1016/j.is.2006.05.003",1,0.13
"10.1016/j.is.2007.07.001",1,0.13
"10.1016/j.is.2008.09.002",1,0.13
"10.1016/j.is.2008.12.002",1,0.13
"10.1016/j.is.2012.02.004",1,0.13
"10.1016/j.is.2014.04.006",1,0.13
