15	0	0.0
16	1	0.0
17	2	1.0
18	3	0.0
21	4	3.0
22	5	0.0
23	6	1.0
24	7	0.0
25	8	0.0
26	9	2.0
29	10	1.0
30	11	18.0
32	12	3.0
33	13	1.0
34	14	2.0
35	15	4.0
39	16	0.0
40	17	0.0
42	18	0.0
43	19	2.0
45	20	1.0
46	21	0.0
47	22	15.0
48	23	4.0
50	24	0.0
51	25	3.0
54	26	292.0
57	27	1.0
59	28	1.0
60	29	2.0
63	30	6.0
64	31	7.0
65	32	0.0
66	33	0.0
67	34	5.0
70	35	0.0
73	36	1.0
76	37	12.0
77	38	1.0
78	39	59.0
79	40	686.0
80	41	1.0
82	42	1.0
85	43	39.0
86	44	0.0
89	45	14.0
91	46	0.0
93	47	1.0
94	48	3.0
95	49	0.0
96	50	16.0
99	51	0.0
101	52	0.0
102	53	0.0
103	54	5.0
105	55	0.0
106	56	8.0
107	57	31.0
108	58	0.0
109	59	45.0
110	60	10.0
111	61	5.0
113	62	3.0
114	63	6.0
117	64	5.0
118	65	1.0
119	66	4.0
122	67	0.0
125	68	0.0
126	69	7.0
131	70	44.0
133	71	1.0
134	72	20.0
136	73	0.0
137	74	68.0
139	75	2.0
140	76	0.0
141	77	15.0
142	78	3.0
143	79	0.0
146	80	1.0
147	81	1.0
153	82	5.0
154	83	35.0
156	84	26.0
157	85	4.0
158	86	0.0
159	87	24.0
160	88	0.0
164	89	2.0
165	90	3.0
166	91	31.0
169	92	7.0
170	93	0.0
173	94	3.0
175	95	35.0
181	96	1.0
184	97	0.0
185	98	0.0
187	99	8.0
190	100	0.0
191	101	0.0
194	102	0.0
195	103	11.0
196	104	0.0
198	105	18.0
199	106	7.0
200	107	0.0
201	108	11.0
203	109	7.0
204	110	6.0
205	111	17.0
206	112	22.0
209	113	4.0
211	114	6.0
215	115	5.0
216	116	1.0
217	117	10.0
218	118	4.0
220	119	3.0
221	120	9.0
222	121	5.0
223	122	0.0
224	123	1.0
225	124	23.0
226	125	12.0
227	126	18.0
228	127	1.0
229	128	6.0
230	129	1.0
231	130	1.0
232	131	14.0
233	132	1.0
235	133	10.0
239	134	20.0
241	135	24.0
245	136	3.0
247	137	5.0
251	138	1.0
252	139	0.0
254	140	9.0
258	141	7.0
259	142	3.0
260	143	9.0
261	144	12.0
263	145	0.0
265	146	10.0
266	147	1.0
267	148	3.0
268	149	16.0
269	150	11.0
272	151	0.0
273	152	4.0
274	153	6.0
275	154	5.0
276	155	1.0
280	156	4.0
282	157	0.0
284	158	3.0
285	159	85.0
286	160	135.0
288	161	23.0
289	162	44.0
290	163	8.0
291	164	0.0
292	165	20.0
294	166	0.0
295	167	198.0
296	168	0.0
298	169	7.0
301	170	25.0
302	171	0.0
305	172	29.0
307	173	22.0
308	174	6.0
312	175	3.0
316	176	37.0
317	177	69.0
318	178	3.0
319	179	0.0
320	180	1.0
321	181	0.0
322	182	37.0
326	183	0.0
327	184	4.0
328	185	0.0
329	186	0.0
330	187	4.0
331	188	12.0
332	189	2.0
333	190	2.0
335	191	8.0
337	192	4.0
338	193	27.0
341	194	7.0
344	195	23.0
345	196	2.0
346	197	7.0
347	198	57.0
349	199	106.0
350	200	12.0
351	201	8.0
352	202	2.0
353	203	1.0
354	204	0.0
355	205	1.0
356	206	336.0
358	207	2.0
365	208	13.0
366	209	0.0
368	210	0.0
369	211	0.0
370	212	19.0
371	213	3.0
373	214	19.0
374	215	0.0
376	216	4.0
377	217	112.0
378	218	0.0
379	219	105.0
381	220	0.0
382	221	3.0
383	222	5.0
384	223	8.0
385	224	19.0
388	225	9.0
390	226	28.0
394	227	24.0
395	228	0.0
397	229	8.0
398	230	12.0
402	231	1.0
403	232	3.0
404	233	1.0
406	234	3.0
407	235	118.0
409	236	5.0
410	237	19.0
411	238	1.0
412	239	20.0
414	240	0.0
415	241	0.0
416	242	1.0
417	243	43.0
418	244	3.0
419	245	2.0
422	246	9.0
423	247	1.0
424	248	6.0
426	249	6.0
427	250	0.0
428	251	3.0
429	252	2.0
431	253	40.0
432	254	3.0
433	255	9.0
436	256	47.0
437	257	4.0
439	258	11.0
440	259	3.0
441	260	15.0
442	261	2.0
443	262	0.0
445	263	7.0
446	264	70.0
447	265	4.0
450	266	4.0
451	267	5.0
453	268	4.0
454	269	5.0
455	270	9.0
457	271	9.0
458	272	0.0
461	273	18.0
462	274	1.0
463	275	31.0
464	276	3.0
466	277	3.0
467	278	3.0
470	279	0.0
471	280	0.0
473	281	0.0
474	282	95.0
475	283	1.0
476	284	0.0
478	285	4.0
480	286	3.0
482	287	8.0
483	288	3.0
484	289	2.0
488	290	0.0
491	291	9.0
492	292	3.0
495	293	10.0
496	294	3.0
497	295	35.0
498	296	10.0
499	297	1.0
500	298	0.0
501	299	747.0
502	300	3.0
503	301	1.0
504	302	5.0
505	303	13.0
507	304	0.0
509	305	5.0
511	306	24.0
512	307	25.0
514	308	8.0
515	309	1.0
521	310	3.0
522	311	6.0
523	312	3.0
525	313	56.0
526	314	2.0
527	315	1.0
532	316	13.0
535	317	12.0
536	318	2.0
537	319	2.0
538	320	3.0
539	321	1.0
542	322	16.0
543	323	0.0
545	324	46.0
546	325	4.0
547	326	0.0
548	327	0.0
549	328	19.0
550	329	18.0
552	330	2.0
554	331	2.0
555	332	9.0
556	333	0.0
558	334	106.0
559	335	5.0
560	336	25.0
561	337	40.0
562	338	48.0
563	339	0.0
564	340	48.0
565	341	1.0
566	342	1.0
568	343	2.0
570	344	3.0
571	345	1.0
572	346	0.0
573	347	2.0
