0	0	2003
1	1	2007
2	2	2011
3	3	2011
4	4	2016
5	5	2016
6	6	2016
7	7	2016
8	8	2019
9	9	2019
10	10	2019
11	11	2021
12	12	2023
13	13	2023
14	14	2023
15	15	2010
16	16	2011
17	17	2013
18	18	2016
19	19	2018
20	20	2019
21	21	2016
22	22	2025
23	23	2019
24	24	2024
25	25	2020
26	26	2019
27	27	2012
28	28	2019
29	29	2022
30	30	2021
31	31	2009
32	32	2018
33	33	2020
34	34	2025
35	35	2021
36	36	2015
37	37	2003
38	38	2007
39	39	2025
40	40	2024
41	41	2017
42	42	2017
43	43	2017
44	44	2025
45	45	2021
46	46	2023
47	47	2016
48	48	2018
49	49	2006
50	50	2024
51	51	2022
52	52	2008
53	53	2010
54	54	2019
55	55	2012
56	56	2016
57	57	2019
58	58	2009
59	59	2010
60	60	2014
61	61	2013
62	62	1998
63	63	2018
64	64	2017
65	65	2024
66	66	2024
67	67	2008
68	68	2020
69	69	2013
70	70	2024
71	71	2014
72	72	2014
73	73	2017
74	74	2014
75	75	2013
76	76	2011
77	77	2020
78	78	2012
79	79	2009
80	80	2024
81	81	1998
82	82	1995
83	83	2010
84	84	2014
85	85	2010
86	86	2024
87	87	2011
88	88	2024
89	89	2014
90	90	2016
91	91	2022
92	92	2008
93	93	2013
94	94	2020
95	95	2018
96	96	2021
97	97	2014
98	98	2008
99	99	2020
100	100	2001
101	101	2024
102	102	2024
103	103	2011
104	104	2005
105	105	2015
106	106	2022
107	107	2017
108	108	2023
109	109	2011
110	110	2016
111	111	2008
112	112	2019
113	113	2021
114	114	2016
115	115	2016
116	116	2015
117	117	2016
118	118	2006
119	119	2016
120	120	2011
121	121	2012
122	122	2022
123	123	2013
124	124	2013
125	125	2021
126	126	2009
127	127	2017
128	128	2010
129	129	2011
130	130	2010
131	131	2004
132	132	2007
133	133	2024
134	134	2002
135	135	2016
136	136	2003
137	137	2007
138	138	2019
139	139	2007
140	140	2023
141	141	2010
142	142	2009
143	143	2009
144	144	2020
145	145	2019
146	146	2022
147	147	2007
148	148	2006
149	149	2012
150	150	2017
151	151	2013
152	152	2013
153	153	2015
154	154	2017
155	155	2011
156	156	2014
157	157	2011
158	158	2024
159	159	2017
160	160	2025
161	161	2015
162	162	2013
163	163	2011
164	164	2018
165	165	2018
166	166	2022
167	167	2014
168	168	2015
169	169	2011
170	170	2024
171	171	2013
172	172	2016
173	173	2019
174	174	2017
175	175	2022
176	176	2013
177	177	2012
178	178	2013
179	179	2019
180	180	2016
181	181	1985
182	182	2010
183	183	2017
184	184	2024
185	185	2025
186	186	2019
187	187	2009
188	188	2006
189	189	2007
190	190	2024
191	191	2024
